,Personality Type,Personality_Profile,Strengths,Potential_development_areas,Typical_Characteristics,Career,Under_Stress,Relationships,Stress_Behavior
0,ISTJ,"ISTJ personality types are sensible and reliable, and pay attention to detail.","Dependable and systematic, ISTJ types enjoy working within clear systems and processes. They tend to be traditional, task-oriented and decisive.",People with ISTJ preferences can become set in their ways and can sometimes be seen as rigid and impersonal.,"ISTJs are typically thorough, conscientious, realistic but also systematic and reserved., Their most common characteristics are shown here in the form of a fun Typie, which you candownload and share.","ISTJ types like to have clear goals and realistic deadlines, and to work with factual data to solve problems and monitor progress. They prefer to work in traditional organisational environments, with people who take their responsibilities seriously. Attractive occupations for ISTJs tend to be within management or administrative positions, with law-enforcement and accounting also holding appeal","ISTJ stress triggers can be things that challenge their natural preference for structure and logic. In extreme circumstances they may become accusatory and pessimistic, tending to withdraw and shut down.Download and share* this ISTJ stress head, to remind yourself and your colleagues about the things that stress ISTJs.",An ISTJ is generally perceived by others as someone who values traditions and is also consistent and orderly. ISTJs develop strong loyalty in relationships in their lives and they work hard to fulfill commitments.,May become inflexible and overly critical of self and others.
1,ISFJ,ISFJ personality types are considerate and kind individuals with a strong sense of commitment to others.,"ISFJs are patient individuals who apply common sense and experience to solving problems for other people. They are responsible, loyal and traditional, enjoying serving the needs of others and providing practical help.","ISFJ people may be overly cautious, and might not consider the logical consequences of their decisions. They can lack assertiveness, and risk basing their decisions on what they think will please others.","ISFJs are organised, practical and patient, but also dependable and loyal. Furthermore ISFJs are patient and understanding., Their most common characteristics are shown here in the form of a fun Typie, which you can download and share.","ISFJs enjoy a sense of belonging at work and like to work with people who care about and support each other. Jobs attractive to ISFJs are those that reward loyalty and a sense of duty, including careers in healthcare, secretarial roles and social work","ISFJs will typically become stressed in the situations shown in this MBTI type head illustration. In extreme circumstances they tend to be accusatory and pessimistic, tending to think the worst and shut down.   ISFJ stress head to remind yourself and your colleagues about the things that stress ISFJs.","An ISFJ is generally dependable and also committed to their partners and the groups they are associated with. They honour commitments and like to preserve traditions, also they tend to be good ""caretakers"".",May become overly self-sacrificing and struggle to express their own needs.
2,INFJ,INFJ personality types are compassionate and quietly inspiring; they enjoy helping others grow and develop.,"INFJ people enjoy finding a shared vision for everyone, inspiring others and devising new ways to achieve the vision.","INFJs may come across as individualistic, private and perhaps mysterious to others, and may do their thinking in a vacuum, resulting in an unrealistic vision that is difficult to communicate.","INFJs are typically compassionate, idealistic as well as imaginative and visionary. They are also sensitive and reserved., The most common characteristics are shown here in the form of a fun Typie, which you can download and share.","INFJs often enjoy working for organisations with a humanitarian mission and a reputation for integrity. They like designing innovative programs or services and serving people’s spiritual needs. Attractive INFJ jobs include careers in teaching, social work and artistic professions","INFJs will typically become stressed in the situations shown in this MBTI stress head illustration. In these circumstances you may feel physically stressed and intensely angry, with an obsessive focus on certain details and a tendency to overindulge.Download and share* this INFJ stress head to remind yourself and your colleagues about the things that stress INFJs.",INFJs have a gift to intuitively understand human relationships and complex meanings as well as they often understand emphatically the feelings of their partners. They are also seen as even mysterious by others as they tend to share their internal intuitions only with those they truly trust.,May become overly critical of self and others and feel a sense of overwhelm.
3,INTJ,INTJ personality types think strategically and see the big picture.,"INTJ people are often able to define a compelling, long-range vision, and can devise innovative solutions to complex problems.",INTJs may come across as cold and distant when focusing on the task in hand. They can neglect to recognise and appreciate the contributions of others.,"INTJs are typically strategic and conceptual as well as innovative, independent and logical. They can also be demanding and but reflective., Their most common characteristics are shown here in the form of a fun Typie, which you can download and share.","INTJs tend to enjoy being challenged intellectually and working in an environment that is hard-driving and achievement-oriented. They relish the opportunity to work with people who are experts in their field. Appealing careers for INTJs include those in scientific or technical industries such as engineering, computing or law","An INTJ will typically become stressed in the situations shown in this MBTI type head illustration. In these circumstances you may feel physically stressed and intensely angry, with an obsessive focus on certain details and a tendency to overindulge.Download and share* this INTJ stress head to remind yourself and your colleagues about the things that stress INTJs.",An INTJ might find it difficult to engage in social conversations and they tend to be seen as private and reserved. They also might fail to give as much praise or intimate rapport as those around them would desire.,May become excessively focused on planning and lose sight of present realities.
4,ISTP,"ISTP personality types are calm, efficient and productive, and are open to new opportunities.","ISTPs tend to enjoy learning and perfecting a craft through their patient application of skills. They can remain calm while managing a crisis, quickly deciding what needs to be done to solve the problem.",ISTP people risk focusing so much on what needs to be done immediately that they fail to see the big picture. They don’t always follow through on projects that require them to work closely with others.,"ISTPs are typically analytical, practical, realistic but also logical and adaptable., Their most common characteristics are shown here in the form of a fun Typie, which you can download and share.","ISTPs like analysing problems and responding to crises. They enjoy working autonomously, and tend to prefer hands-on or analytical work. Jobs that might appeal to ISTPs might include surgery, agriculture or engineering","ISTPs will typically become stressed in the situations shown in this MBTI stress head illustration. In extreme circumstances they will tend to feel alienated and upset, and prone to whingeing and hypersensitivity. Download and share* this ISTP stress head to remind yourself and your colleagues about the things that stress ISTPs.","An ISTP is egalitarian and generally tolerant of wide ranges of behaviour, but they can surprise others around them by voicing their firm judgements when logical principles are attacked. ISTPs can be a challenge to read as they tend to be quiet and reserved.",May become impulsive and take risks without considering consequences.
5,ISFP,"ISFP personality types are sensitive, gentle and attentive to the needs of those around them.","ISFPs enjoy providing practical help or service to others, as well as bringing people together and facilitating and encouraging their cooperation.","Because they tend to be less assertive than some types, ISFPs may have less influence in the workplace, and their concern for others could prevent them from making tough decisions. They sometimes put off making decisions, in the hope that a better opportunity will come along.","ISFPs are typically cooperative, modest and adaptable and also gentle and loyal., Their most common characteristics are shown here in the form of an fun Typie, which you can download and share.","ISFP people enjoy working at something that is personally meaningful. They like to work in an environment with supportive co-workers who care about one another, and may shy away from outright competition. ISFPs are likely to be attracted to jobs in healthcare, service industries and clerical professions","An ISFP will typically become stressed in the situations shown in this MBTI stress head illustration. In these circumstances they tend to become cynical, depressed, aggressive and prone to acute self-doubt.  ISFP stress head to remind yourself and your colleagues about the things that stress ISFPs.","An ISFP prizes the freedom to follow their own path and they enjoy having their own space and setting their own timetables, which they will also give to their partners. ISFPs can be difficult to know well but they can care deeply about others which they show through actions rather than words.",May become overly sensitive to criticism and struggle to make decisions.
6,INFP,"INFP personality types seek to live in accordance with their inner core of values, and have insight into what is really important to others.","INFP people enjoy devising creative solutions to problems, making moral commitments to what they believe in. They enjoy helping others with their growth and inner development to reach their full potential.","INFPs may struggle to speak up in meetings, leading others to believe they don’t care or have nothing to contribute. They risk failing to convince others of the merit of their ideas.","INFPs are typically flexible, spontaneous as well as reflective and contained. They are also imaginative and developmental., Their most common characteristics are shown here in the form of a fun Typie, which you can download and share.","INFP people enjoy helping others develop and learn, and express their creativity through writing or visual arts. They like doing work that has meaning, and enjoy working with people who share their values. INFPs are likely to be attracted to professions in counselling and human development, as well as within the arts and writing","An INFP will typically become stressed in the situations shown in this MBTI type head illustration. In these circumstances you will tend to become cynical, depressed, aggressive and prone to acute self-doubt.Download and share* this INFP stress head to remind yourself and your colleagues about the insights that stress INFPs.",An INFP tends to be selective and reserved about sharing their deepest feelings and values and can be sometimes difficult to understand. They are seen by their partners as sensitive and introspective.,May become excessively self-critical and struggle with indecision.
7,INTP,"INTP personality types are logical, analytical and adaptable, with the ability to respond to new opportunities as they come along.","INTP people think strategically and are able to build conceptual models to understand complex problems. They tend to adopt a detached and concise way of analysing the world, and often uncover new or innovative approaches.","INTPs may struggle to work in teams, especially with others who they perceive to be illogical or insufficiently task-focused. They may have no clear sense of direction and may overlook important facts or practical details.","INTPs are typically independent and detached, who also tends to be challenging and logical as well as sceptical and innovative., Their most common characteristics are shown here in the form of a fun Typie, which you can download and share.","INTPs tend to appreciate occupations in technical and scientific fields, and gain expert knowledge. They work best in an environment that offers time and space to concentrate without interruption, and which doesn’t pressure people to work in teams or attend lots of meetings. Jobs that might appeal to INTPs include architect, researcher and social scientist","An INTP will typically become stressed in the situations shown in this MBTI stress head illustration. In extreme circumstances you will tend to feel alienated and upset, and prone to whingeing and hypersensitivity. Download and share* this INTP stress head to remind yourself and your colleagues about the things that stress INTPs.","An INTP can be tolerant of a wide range of behaviour of those around them, however they can fail to consider the impact on others of the way or style they express their ideas. Others see INTPs as independent who values autonomy.",May become overly critical of self and others and struggle to express emotions.
8,ESTP,"ESTP personality types are energetic, enthusiastic and easily adaptable, and like to make work fun.","ESTPs motivate others by bringing energy into situations. They apply common sense and experience to problems, quickly analysing what is wrong and then fixing it, often in an inventive or resourceful way.","ESTP people may have difficulty in managing their time, and may lose interest in long, complex projects. Being so focused on immediate problems may lead to them ignoring long-term systematic problems, and they may also be uncomfortable discussing or focusing on relationships.","ESTPs are typically analytical, outgoing and enthusiastic as well as logical and they tend to be observant and resourceful., The most common characteristics are shown here in the form of a fun Typie, which you can download and share.","ESTPs enjoy taking risks, managing crises and putting out fires. They work best surrounded by active, task-oriented people in an environment that is immediate and focused on the project. ESTPs are likely to be attracted to jobs in the protective services, agriculture, manufacturing and marketing","An ESTP will typically become stressed in the situations shown in this MBTI stress head illustration. In these circumstances you will tend to be withdrawn, distracted and paranoid, with feelings of chronic anxiety.Download and share* this ESTP stress head to remind yourself and your colleagues about the things that stress ESTPs.","An ESTP truly loves life and they immerse themselves in it, their partners see them as adventurous risk-takers as well as pragmatic troubleshooters, however they might be impatient with exploration of relationships.",May become aggressive and seek out adrenaline-inducing activities to cope with stress.
9,ESFP,"ESFP personality types are entertaining, easy-going, sociable people, who like to put others at ease.","ESFP people tend to be adaptable, friendly, and talkative. They enjoy life and being around people. This personality type enjoys working with others and experiencing new situations.","ESFP personality types sometimes have trouble meeting deadlines, and do not always finish what they start. They can get easily distracted.","ESFPs are typically tolerant and spontaneous as well as playful and resourceful. They also tend to be friendly and enthusiastic., Their most common characteristics can be found in the form of a fun Typie, which you can download and share.","ESFP types like to make work fun, and to create a spirit of cooperation. ESFPs at work learn best by trying out a new skill alongside other people. ESFPs are often attracted to careers where their outgoing nature and attention to others can be applied, including fields such as healthcare and teaching","An ESFP will typically become stressed in the situations shown in this MBTI stress head illustration. In these circumstances you will tend to be withdrawn, distracted and paranoid, with feelings of chronic anxiety. Download and share* this ESFP stress head to remind yourself and your colleagues about the things that stress ESFPs.","An ESFP is a big life-lover who enjoy food, clothes, animals and also the companion of people. In relationships they are seen as supportive, fun-loving and spontaneous.",May become overly emotional and struggle to focus on tasks or make decisions.
10,ENFP,ENFP personality types are energetic and motivational.,"Moving quickly from one project to another, ENFPs are willing to consider almost any possibility and often develop multiple solutions to a problem. Their energy is stimulated by new people and experiences.","ENFP people may not follow through on decisions or projects, and risk burning out from over-committing or following every possibility. They may also have trouble determining priorities.","ENFPs are typically friendly and expressive as well as innovative and energetic., Their most common characteristics are shown here in the form of a fun Typie, which you can download and share.","The ideal working environment for ENFPs is one that encourages and rewards creativity, fosters teamwork and offers opportunities to work with a variety of people, particularly in order to support and enlighten them. ENFPs tend to be attracted to jobs in coaching and development, teaching and religious callings, as well as the creative arts","An ENFP will typically become stressed in the situations shown in this MBTI stress head illustration. In these circumstances you will tend to be over-worried, withdrawn, tunnel-visioned and prone to extreme emotions. Download and share* this ENFP stress head to remind yourself and your colleagues about the things that stress ENFPs.",An ENFP is keenly perceptive about people and they also experience feelings of wide ranges as well as intense emotions. Their partners will see them as versatile and enthusiastic.,May become overwhelmed and struggle to make decisions or take action.
11,ENTP,"ENTP personality types are strategic, adaptable, energetic and enthusiastic.","ENTPs solve problems creatively and are often innovative in their way of thinking, seeing connections and patterns within a system. They enjoy developing strategy and often spot and capitalise on new opportunities that present themselves.",ENTPs sometimes avoid making decisions and may become excited about ideas that are not feasible because of constraints on time or resources. They may be overly challenging to others and their ideas.,"ENTPs are typically emergent, theoretical and flexible as well as imaginative and challenging., Their most common characteristics are shown here in the form of a fun Typie, which you can download and share.","ENTPs prefer to work in a fast-growing, high-energy atmosphere which is characterised by autonomy and the freedom to think differently. They enjoy devising technical solutions to problems and selling new ideas and opportunities to others. Careers within a wide variety of fields will appeal to ENTPs, include those in the creative professions, business management, finance and engineering","An ENTP will typically become stressed in the situations shown in this MBTI stress head illustration. In these circumstances you will tend to be over-worried, withdrawn, tunnel-visioned and prone to extreme emotions. Download and share* this ENTP stress head to remind yourself and your colleagues about the things that stress ENTPs.","An ENTP will enjoy a good debate, their conversational style is customarily challenging as well as stimulating. Their partner will see them as energetic and lively but also independent.",May become argumentative and push boundaries without considering consequences.
12,ESTJ,"ESTJ personality types are analytical, goal-oriented, decisive and organised.","ESTJs drive themselves to reach their goal, organising people and resources in order to achieve it. They have an extensive network of contacts and are willing to make tough decisions when necessary. They tend to value competence highly.","ESTJ people tend to be so focused on the objective pursuit of their goal that they ignore the ideas or feelings of others. Situations where an intimate rapport is needed are likely to be less comfortable for them. They may not collect enough information before jumping into action, and risk missing new opportunities that are not already part of their plan.","ESTJs are typically responsible and efficient but they can also be assertive as well as logical and realistic., Their most common characteristics are shown here in the form of a fun Typie, which you can download and share.","ESTJs enjoy setting clear goals and deadlines, and analysing problems logically. They work best in a stable environment with clearly defined roles and responsibilities. Careers in law-enforcement, manufacturing and applied technology are likely to appeal to ESTJs","An ESTJ will typically become stressed in the situations shown in this MBTI stress head illustration. In these circumstances you will tend to become hypersensitive, emotional, domineering and inflexible. Download and share* this ESTJ stress head to remind yourself and your colleagues about the things that stress ESTJs.",An ESTJ generally enjoys interacting with others and they take relationship roles seriously and will be keen to fulfil them responsibly. Their partners will see an ESTJ as conscientious as well as dependable.,"May become overly rigid and focused on details, leading to micromanaging."
13,ESFJ,"ESFJ personality types are conscientious team players who interact closely with others, enjoy a sense of belonging and apply common sense to problems.","ESFJs tend to be sociable and outgoing, understanding what others need and expressing appreciation for their contributions. They collect the necessary facts to help them make a decision and enjoy setting up effective procedures.","ESFJs may be overly influenced by what they think others want when making decisions, and may find it difficult to adjust plansin response to unexpected opportunities. They risk being too accepting or deferential to those in charge.","ESFJs are typically warm and appreciative as well as organised, outgoing and supportive. They are also realistic and loyal., Their most common characteristics are shown here in the form of a fun Typie, which you can download and share.","ESFJs work best in an environment that fosters a family-like atmosphere with friendly, caring people. They enjoy interacting closely with customers and colleagues, and communicating the value of a product, service or project. ESFJs are likely to be attracted to jobs in childcare, nursing, teaching or religious institutions","An ESFJ will typically become stressed in the situations shown in this MBTI stress head illustration. In these circumstances you will tend to be pessimistic and rigid, and prone to self-doubt and insensitivity.Download and share* this ESFJ stress head to remind yourself and your colleagues about the things that stress ESFJs.","An ESFJ is emotionally highly attuned to others using empathy, understanding their partner's emotional needs and concerns. Their partners view them as responsive and persuasive.",May become overly accommodating and struggle to set boundaries or prioritize their own needs.
14,ENTJ,"ENTJ personality types are driven, organised, decisive natural leaders.","ENTJs see the big picture and think strategically about the future. They are able to efficiently organise people and resources in order to accomplish long-term goals, and tend to be comfortable with taking strong leadership over others.","ENTJs may overlook the contributions of others and may neglect to consider the needs of the people who implement their plans. Because they drive themselves strongly, they risk driving others as hard and may intimidate people with their take-charge attitude.","ENTJs are typically structured and challenging, they also tend to be strategic and questioning., Their most common characteristics are shown here in the form of a fun Typie, which you can download and share.","ENTJs aren’t afraid to make tough decisions to move forward, and enjoy solving system-level problems. They work best in a fast-growing environment which fosters competition, rewards achievement and offers them continual new challenges. ENTJs are typically attracted to positions of leadership and management, where tough-minded analysis is key","An ENTJ will typically become stressed in the situations shown in this MBTI stress head illustration. In these circumstances you will tend to become hypersensitive, emotional, domineering and inflexible. Download and share* this stress head to remind yourself and your colleagues about the things that stress ENTJs.","An ENTJ is energised by stimulating interactions with people, which they really enjoy. An ENTJ is seen by their partner as decisive and fair.",May become overly focused on achieving goals and lose sight of the impact on others.
15,ENFJ,"Protagonists (ENFJs) feel called to serve a greater purpose in life. Thoughtful and idealistic, these personality types strive to have a positive impact on other people and the world around them. They rarely shy away from an opportunity to do the right thing, even when doing so is far from easy.","ENFJs are able to get the most out of teams by working closely with them, and make decisions that respect and take into account the values of others. They tend to be adept at building consensus and inspiring others as leaders.","ENFJ people often talk a lot, and may become discouraged if they do not receive a lot of feedback from others. They expect everyone to give as much to the task as they do, and can find conflict and lack of consensus difficult to deal with. They may overlook logical, factual realities when making decisions.","ENFJs are typically warm, collaborative and supportive, as well as friendly and organised. They also tend to be persuasive., Their most common characteristics are shown here in the form of a fun Typie, which you can download and share.","ENFJs enjoy helping others develop new skills, structure their time and meet deadlines. They work best in an environment that promotes collaboration and harmony, especially in working towards shared goals. ENFJs are likely to be attracted to careers in counselling, teaching, healthcare or religion","An ENFJ will typically become stressed in the situations shown in this MBTI stress head illustration. In these circumstances you will tend to be pessimistic and rigid, and prone to self-doubt and insensitivity. Download and share* this ENFJ stress head to remind yourself and your colleagues about the things that stress ENFJs.","An ENFJ tends to focus on encouraging the growth of others around them and they quickly understand their emotional needs. Their partners will see them as gracious, expressive and congenial.",May become excessively critical of self and others and struggle to delegate tasks.
